User parsed;Speciality;Specialization;Hub;Skills;Workplace;Posts;Bookmark;Comments;Count
 ; ;+; ;+; ; ;+;+;1642
+; ;+; ;+; ; ;+;+;1615
 ;+;+; ;+; ; ;+;+;1031
+;+;+; ;+; ; ;+;+;1013
 ; ; ;+;+; ; ;+;+;1515
+; ; ;+;+; ; ;+;+;1507
 ;+; ;+;+; ; ;+;+;949
+;+; ;+;+; ; ;+;+;942
 ; ;+;+;+; ; ;+;+;1391
+; ;+;+;+; ; ;+;+;1384
 ;+;+;+;+; ; ;+;+;876
+;+;+;+;+; ; ;+;+;870
 ; ; ; ; ;+; ;+;+;2085
+; ; ; ; ;+; ;+;+;2045
 ;+; ; ; ;+; ;+;+;1310
+;+; ; ; ;+; ;+;+;1292
 ; ;+; ; ;+; ;+;+;209
+; ;+; ; ;+; ;+;+;203
 ;+;+; ; ;+; ;+;+;170
+;+;+; ; ;+; ;+;+;165
 ; ; ;+; ;+; ;+;+;1565
+; ; ;+; ;+; ;+;+;1558
 ;+; ;+; ;+; ;+;+;977
+;+; ;+; ;+; ;+;+;974
 ; ;+;+; ;+; ;+;+;160
+; ;+;+; ;+; ;+;+;158
 ;+;+;+; ;+; ;+;+;133
+;+;+;+; ;+; ;+;+;131
 ; ; ; ;+;+; ;+;+;136
+; ; ; ;+;+; ;+;+;131
 ;+; ; ;+;+; ;+;+;116
+;+; ; ;+;+; ;+;+;111
 ; ;+; ;+;+; ;+;+;132
+; ;+; ;+;+; ;+;+;128
 ;+;+; ;+;+; ;+;+;112
+;+;+; ;+;+; ;+;+;108
 ; ; ;+;+;+; ;+;+;108
+; ; ;+;+;+; ;+;+;106
 ;+; ;+;+;+; ;+;+;93
+;+; ;+;+;+; ;+;+;91
 ; ;+;+;+;+; ;+;+;105
+; ;+;+;+;+; ;+;+;103
 ;+;+;+;+;+; ;+;+;90
+;+;+;+;+;+; ;+;+;88
 ; ; ; ; ; ;+;+;+;16686
+; ; ; ; ; ;+;+;+;16370
 ;+; ; ; ; ;+;+;+;8032
+;+; ; ; ; ;+;+;+;7910
 ; ;+; ; ; ;+;+;+;1094
+; ;+; ; ; ;+;+;+;1079
 ;+;+; ; ; ;+;+;+;823
+;+;+; ; ; ;+;+;+;812
 ; ; ;+; ; ;+;+;+;14674
+; ; ;+; ; ;+;+;+;14588
 ;+; ;+; ; ;+;+;+;6797
+;+; ;+; ; ;+;+;+;6762
 ; ;+;+; ; ;+;+;+;880
+; ;+;+; ; ;+;+;+;875
 ;+;+;+; ; ;+;+;+;677
+;+;+;+; ; ;+;+;+;673
 ; ; ; ;+; ;+;+;+;811
+; ; ; ;+; ;+;+;+;798
 ;+; ; ;+; ;+;+;+;620
+;+; ; ;+; ;+;+;+;610
 ; ;+; ;+; ;+;+;+;750
+; ;+; ;+; ;+;+;+;739
 ;+;+; ;+; ;+;+;+;577
+;+;+; ;+; ;+;+;+;568
 ; ; ;+;+; ;+;+;+;667
+; ; ;+;+; ;+;+;+;662
 ;+; ;+;+; ;+;+;+;519
+;+; ;+;+; ;+;+;+;515
 ; ;+;+;+; ;+;+;+;611
+; ;+;+;+; ;+;+;+;606
 ;+;+;+;+; ;+;+;+;479
+;+;+;+;+; ;+;+;+;475
 ; ; ; ; ;+;+;+;+;1716
+; ; ; ; ;+;+;+;+;1687
 ;+; ; ; ;+;+;+;+;1175
+;+; ; ; ;+;+;+;+;1160
